001000001001062712001   5361 #0001    N 8038556AACEBCEDBBEEAECD              0178      
001000002001062712001   5361 #0001    N 8038406CACDEABABDCBEEDA                41      
001000003001062712001   5361 #0001    N 8075141EABAACEABBDEABEE              0146      
001000004001062712001   5361 #0001    N 8043232AAAEDCBCBEDBEEEC              0183      
001000005001062712001   5361 #0001    N 7649497EADDBBECBACECAAA              0194      
001000006001062712001   5361 #0001    N 8037840AEEDCCEDBEBDDBCB              0161      
001000007001062712001   5361 #0001    N 8041011CADDCABBCEDAECEC              0153      
001000008001062712001   5361 #0001    N 8043333AEABCCADBCCCAADE              0161      
001000009001062712001   5361 #0001    N 7212805CADBBABDBCDEEAEB              0177      
001000010001062712001   5361 #0001    N 8038730DEDEBCCEEEAEEECA                54      
001000011001062712001   5361 #0001    N 8040114BDACBDCACCCCEAEA                51      
001000012001062712001   5361 #0001    N 8040031ECDABABECBDEEBEA              0139      
001000013001062712001   5361 #0001    N 8040142AAADCABEAEDBEAEE              0165      
001000014001062712001   5361 #0001    N 8042972AEABCCAABBCCBADE                61      
001000015001062712001   5361 #0001    N 8086619AABEBBACBEEEBEAA              0190      
001000016001062712001   5361 #0001    N 8041394CAADACEDBBCBBEEA              0152      
001000017001062712001   5361 #0001    N 8039561DEDBBAECCCACEBDA              0132      
001000018001062712001   5361 #0001    N 8041400DACAACEDBBCEBAAE              0164      
001000019001062712001   5361 #0001    N 8037937AAADCADBEEDAEBEE              0177      
001000020001062712001   5361 #0001    N 8075454BACEABEBBBCACDDD              0134      
001000021001062712001   5361 #0001    N 8075113ABABECAEBAAABDDE              0167      
001000022001062712001   5361 #0001    N 8041081AEAACCAACAAAEADA              0131      
001000023001062712001   5361 #0001    N 8039501EDBABBEDEEBECEBA              0142      
001000024001062712001   5361 #0001    N 8039449AAABCABECEDAEAEC              0171      
001000025001062712001   5361 #0001    N 8041539BDBDBDCDCBDEEBED              0181      
001000026001062712001   5361 #0001    N 8040160AADAEABEBECBECEA              0135      
001000027001062712001   5361 #0001    N 8075047EDDEBBEEEEEEBEBA              0172      
001000028001062712001   5361 #0001    N 8039407EBCDACBDCEABDCCA              0153      
001000029001062712001   5361 #0001    N 8041074AEABCCADBAACBBDD              0143      
